
1-央视,#genre#
CCTV-6,http://58.51.111.46:1111/tsfile/live/1006_1.m3u8
CCTV-6,http://171.118.223.183:9999/tsfile/live/0006_1.m3u8
CCTV-6,http://110.7.128.207:8096/tsfile/live/0006_1.m3u8
CCTV-6,http://116.131.173.194:809/hls/6/index.m3u8
CCTV-6,http://dms.yryyj.site:8188/udp/239.76.246.156:1234
CCTV-6,http://47.93.215.244:80/udp/225.1.8.90:8000
CCTV-6,http://111.11.98.205:9900/hls/6/index.m3u8
CCTV-6,http://183.3.134.56:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://222.83.181.3:9901/tsfile/live/0008_1.m3u8
CCTV-6,http://1b6467f415.iok.la:9931/tsfile/live/1026_1.m3u8
CCTV-6,http://171.8.245.181:808/hls/6/index.m3u8
CCTV-6,http://ssrs2004.win:8888/rtp/239.112.205.223:5140
CCTV-6,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://123.154.30.252:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://47.93.215.244:80/udp/225.1.8.84:8000
CCTV-6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV-6,http://14.212.185.138:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://1.202.9.192:8888/udp/225.1.8.90:8000
CCTV-7,http://171.80.114.238:20000/hls/7/index.m3u8
CCTV-7,http://dms.yryyj.site:8188/udp/239.76.246.157:1234
CCTV-7,http://123.154.30.252:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://171.118.223.183:9999/tsfile/live/0007_1.m3u8
CCTV-7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV-7,http://47.93.215.244:80/udp/225.1.8.7:8104
CCTV-7,http://47.93.215.244:80/udp/225.1.8.107:8024
CCTV-7,http://111.11.98.205:9900/hls/7/index.m3u8
CCTV-7,http://183.3.134.56:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://1.202.9.192:8888/udp/225.1.8.107:8024
CCTV-7,http://ssrs2004.win:8888/rtp/239.112.205.83:5140
CCTV-7,http://36.35.16.98:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://112.101.78.50:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://14.212.185.138:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://171.8.245.181:808/hls/8/index.m3u8
CCTV-8,http://116.131.173.194:809/hls/8/index.m3u8
CCTV-8,http://171.80.114.238:20000/hls/52/index.m3u8
CCTV-8,http://123.154.30.252:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV-8,http://36.35.16.98:9901/tsfile/live/0001_41.m3u8
CCTV-8,http://183.3.134.56:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://222.83.181.3:9901/tsfile/live/0010_1.m3u8
CCTV-8,http://1.202.9.192:8888/udp/225.1.8.91:8000
CCTV-8,http://ssrs2004.win:8888/rtp/239.112.205.224:5140
CCTV-8,http://47.93.215.244:80/udp/225.1.8.91:8000
CCTV-8,http://111.11.98.205:9900/hls/8/index.m3u8
CCTV-8,http://dms.yryyj.site:8188/udp/239.76.246.158:1234
CCTV-8,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://47.93.215.244:80/udp/225.1.8.85:8000
CCTV-8,http://14.212.185.138:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://171.118.223.183:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://171.8.245.181:808/hls/9/index.m3u8
CCTV-9,http://171.80.114.238:20000/hls/8/index.m3u8
CCTV-9,http://110.7.128.207:8096/tsfile/live/0009_1.m3u8
CCTV-9,http://14.212.185.138:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://111.11.98.205:9900/hls/9/index.m3u8
CCTV-9,http://47.93.215.244:80/udp/225.1.8.9:8112
CCTV-9,http://36.35.16.98:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://183.3.134.56:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://1b6467f415.iok.la:9931/tsfile/live/1029_1.m3u8
CCTV-9,http://dms.yryyj.site:8188/udp/239.76.246.159:1234
CCTV-9,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV-9,http://123.154.30.252:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://1.202.9.192:8888/udp/225.1.8.109:8032
CCTV-9,http://ssrs2004.win:8888/rtp/239.112.205.85:5140
CCTV-9,http://47.93.215.244:80/udp/225.1.8.109:8032
CCTV-10,http://171.80.114.238:20000/hls/9/index.m3u8
CCTV-10,http://116.131.173.194:809/hls/10/index.m3u8
CCTV-10,http://58.51.111.46:1111/tsfile/live/1010_1.m3u8
CCTV-10,http://171.118.223.183:9999/tsfile/live/0010_1.m3u8
CCTV-10,http://1b6467f415.iok.la:9931/tsfile/live/1030_1.m3u8
CCTV-10,http://123.154.30.252:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://47.93.215.244:80/udp/225.1.8.10:8116
CCTV-10,http://183.3.134.56:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://1.24.190.98:10080/hls/10/index.m3u8
CCTV-10,http://1.202.9.192:8888/udp/225.1.8.110:8228
CCTV-10,http://120.7.86.46:808/hls/10/index.m3u8
CCTV-10,http://ssrs2004.win:8888/rtp/239.112.205.86:5140
CCTV-10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV-10,http://222.83.181.3:9901/tsfile/live/0010_2.m3u8
CCTV-10,http://111.11.98.205:9900/hls/10/index.m3u8
CCTV-10,http://47.93.215.244:80/udp/225.1.8.110:8228
CCTV-10,http://14.212.185.138:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://112.101.78.50:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://120.7.86.46:808/hls/11/index.m3u8
CCTV-11,http://123.154.30.252:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://171.80.114.238:20000/hls/10/index.m3u8
CCTV-11,http://36.35.16.98:9901/tsfile/live/0011_1.m3u8
CCTV-11,http://111.11.98.205:9900/hls/11/index.m3u8
CCTV-11,http://1.202.9.192:8888/udp/225.1.8.111:8040
CCTV-11,http://1.24.190.98:10080/hls/11/index.m3u8
CCTV-11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV-11,http://47.93.215.244:80/udp/225.1.8.73:8120
CCTV-11,http://222.83.181.3:9901/tsfile/live/0011_1.m3u8
CCTV-11,http://ssrs2004.win:8888/rtp/239.112.205.213:5140
CCTV-11,http://47.93.215.244:80/udp/225.1.8.111:8040
CCTV-11,http://60.27.20.217:4022/rtp/225.1.2.192:5002
CCTV-11,http://123.154.30.252:9901/tsfile/live/0011_1.m3u8
CCTV-11,http://14.212.185.138:9901/tsfile/live/0011_1.m3u8
CCTV-11,http://183.3.134.56:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://14.212.185.138:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://116.131.173.194:809/hls/12/index.m3u8
CCTV-12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV-12,http://1b6467f415.iok.la:9931/tsfile/live/1032_1.m3u8
CCTV-12,http://36.35.16.98:9901/tsfile/live/0001_30.m3u8
CCTV-12,http://111.11.98.205:9900/hls/12/index.m3u8
CCTV-12,http://47.93.215.244:80/udp/225.1.8.112:8232
CCTV-12,http://222.83.181.3:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://1.202.9.192:8888/udp/225.1.8.112:8232
